Company,Metric,Date,Value
WDC,Revenue,2025-03-31,2294.0
WDC,Revenue,2024-12-31,4285.0
WDC,Revenue,2024-09-30,4095.0
WDC,Revenue,2024-06-30,5469.0
WDC,Revenue,2024-03-31,1752.0
WDC,Revenue,2023-12-31,3032.0
WDC,Cost Of Goods Sold,2025-03-31,1382.0
WDC,Cost Of Goods Sold,2024-12-31,2769.0
WDC,Cost Of Goods Sold,2024-09-30,2544.0
WDC,Cost Of Goods Sold,2024-06-30,3634.0
WDC,Cost Of Goods Sold,2024-03-31,1233.0
WDC,Cost Of Goods Sold,2023-12-31,2540.0
WDC,Gross Profit,2025-03-31,912.0
WDC,Gross Profit,2024-12-31,1516.0
WDC,Gross Profit,2024-09-30,1551.0
WDC,Gross Profit,2024-06-30,1835.0
WDC,Gross Profit,2024-03-31,519.0
WDC,Gross Profit,2023-12-31,492.0
WDC,Inventory,2025-03-31,1311.0
WDC,Inventory,2024-12-31,3420.0
WDC,Inventory,2024-09-30,3384.0
WDC,Inventory,2024-06-30,1387.0
WDC,Inventory,2024-03-31,3215.0
WDC,Inventory,2023-12-31,3216.0
WDC,Cash On Hand,2025-03-31,3477.0
WDC,Cash On Hand,2024-12-31,2291.0
WDC,Cash On Hand,2024-09-30,1705.0
WDC,Cash On Hand,2024-06-30,1551.0
WDC,Cash On Hand,2024-03-31,1894.0
WDC,Cash On Hand,2023-12-31,2481.0
WDC,Inventory Turnover,2025-03-31,0.5842
WDC,Inventory Turnover,2024-12-31,0.8139
WDC,Inventory Turnover,2024-09-30,1.0664
WDC,Inventory Turnover,2024-06-30,1.5793
WDC,Inventory Turnover,2024-03-31,0.3835
WDC,Inventory Turnover,2023-12-31,0.7899
Micron,Revenue,2025-02-28,8053.0
Micron,Revenue,2024-11-30,8709.0
Micron,Revenue,2024-08-31,7750.0
Micron,Revenue,2024-05-31,6811.0
Micron,Revenue,2024-02-29,5824.0
Micron,Revenue,2023-11-30,4726.0
Micron,Cost Of Goods Sold,2025-02-28,5090.0
Micron,Cost Of Goods Sold,2024-11-30,5361.0
Micron,Cost Of Goods Sold,2024-08-31,5013.0
Micron,Cost Of Goods Sold,2024-05-31,4979.0
Micron,Cost Of Goods Sold,2024-02-29,4745.0
Micron,Cost Of Goods Sold,2023-11-30,4761.0
Micron,Gross Profit,2025-02-28,2963.0
Micron,Gross Profit,2024-11-30,3348.0
Micron,Gross Profit,2024-08-31,2737.0
Micron,Gross Profit,2024-05-31,1832.0
Micron,Gross Profit,2024-02-29,1079.0
Micron,Gross Profit,2023-11-30,-35.0
Micron,Inventory,2025-02-28,9007.0
Micron,Inventory,2024-11-30,8705.0
Micron,Inventory,2024-08-31,8875.0
Micron,Inventory,2024-05-31,8512.0
Micron,Inventory,2024-02-29,8443.0
Micron,Inventory,2023-11-30,8276.0
Micron,Cash On Hand,2025-02-28,8215.0
Micron,Cash On Hand,2024-11-30,7588.0
Micron,Cash On Hand,2024-08-31,8106.0
Micron,Cash On Hand,2024-05-31,8379.0
Micron,Cash On Hand,2024-02-29,9006.0
Micron,Cash On Hand,2023-11-30,9048.0
Micron,Inventory Turnover,2025-02-28,0.5748
Micron,Inventory Turnover,2024-11-30,0.6099
Micron,Inventory Turnover,2024-08-31,0.5766
Micron,Inventory Turnover,2024-05-31,0.5873
Micron,Inventory Turnover,2024-02-29,0.5676
Micron,Inventory Turnover,2023-11-30,1.0
TSMC,Revenue,2025-03-31,25513.31
TSMC,Revenue,2024-12-31,25059.99
TSMC,Revenue,2024-09-30,23550.46
TSMC,Revenue,2024-06-30,20811.46
TSMC,Revenue,2024-03-31,18846.09
TSMC,Revenue,2023-12-31,20912.59
TSMC,Cost Of Goods Sold,2025-03-31,10514.1
TSMC,Cost Of Goods Sold,2024-12-31,10208.92
TSMC,Cost Of Goods Sold,2024-09-30,9930.74
TSMC,Cost Of Goods Sold,2024-06-30,9745.42
TSMC,Cost Of Goods Sold,2024-03-31,8844.82
TSMC,Cost Of Goods Sold,2023-12-31,9817.67
TSMC,Gross Profit,2025-03-31,14999.21
TSMC,Gross Profit,2024-12-31,14851.07
TSMC,Gross Profit,2024-09-30,13619.72
TSMC,Gross Profit,2024-06-30,11066.04
TSMC,Gross Profit,2024-03-31,10001.27
TSMC,Gross Profit,2023-12-31,11094.92
TSMC,Inventory,2025-03-31,8918.98
